episode,timestep,reward,ep_length,elapsed_s,algo
1,142,-78.654,142,2.5,a2c
2,237,-78.358,95,2.7,a2c
3,473,-57.884,236,3.3,a2c
4,552,-78.554,79,3.5,a2c
5,641,-77.238,89,3.8,a2c
6,703,-89.185,62,3.9,a2c
7,754,-88.983,51,4.0,a2c
8,874,173.566,120,4.4,a2c
9,991,173.816,117,4.7,a2c
10,1037,-89.315,46,4.8,a2c
11,1077,-89.028,40,4.9,a2c
12,1125,-77.697,48,5.0,a2c
13,1188,-77.765,63,5.2,a2c
14,1254,162.084,66,5.4,a2c
15,1297,-89.059,43,5.5,a2c
16,1382,172.597,85,5.8,a2c
17,1465,172.668,83,6.0,a2c
18,1507,-77.659,42,6.1,a2c
19,1539,-78.333,32,6.2,a2c
20,1582,-79.135,43,6.3,a2c
21,1625,-77.709,43,6.4,a2c
22,1700,-91.308,75,6.7,a2c
23,1730,-89.234,30,6.9,a2c
24,1777,-89.739,47,7.1,a2c
25,1803,-89.084,26,7.1,a2c
26,1830,-89.211,27,7.2,a2c
27,1882,-90.234,52,7.4,a2c
28,1961,173.378,79,7.7,a2c
29,2000,-88.886,39,7.8,a2c
30,2029,-78.812,29,7.9,a2c
31,2058,-89.058,29,8.0,a2c
32,2087,-89.184,29,8.0,a2c
33,2116,-89.045,29,8.1,a2c
34,2149,-89.388,33,8.2,a2c
35,2192,-89.884,43,8.3,a2c
36,2237,-88.726,45,8.5,a2c
37,2300,161.948,63,8.7,a2c
38,2333,-89.057,33,8.8,a2c
39,2400,162.004,67,9.0,a2c
40,2446,-88.061,46,9.1,a2c
41,2523,161.893,77,9.4,a2c
42,2562,-89.684,39,9.5,a2c
43,2640,172.638,78,9.7,a2c
44,2717,173.243,77,9.9,a2c
45,2803,173.304,86,10.1,a2c
46,2870,172.497,67,10.3,a2c
47,2937,162.131,67,10.5,a2c
48,3007,172.694,70,10.7,a2c
49,3073,161.542,66,10.9,a2c
50,3140,162.353,67,11.1,a2c
51,3210,162.052,70,11.3,a2c
52,3243,-78.764,33,11.4,a2c
53,3330,162.571,87,11.7,a2c
54,3377,-78.395,47,11.8,a2c
55,3460,173.54,83,12.0,a2c
56,3531,172.731,71,12.2,a2c
