episode,timestep,reward,ep_length,elapsed_s,algo
1,1200,16.487,1200,1.2,dqn
2,1873,-67.766,673,1.3,dqn
3,2551,-73.313,678,1.6,dqn
4,3751,46.56,1200,2.4,dqn
5,3932,-78.28,181,2.5,dqn
6,4164,-78.128,232,2.6,dqn
7,4309,-89.408,145,2.7,dqn
8,4854,-86.544,545,3.1,dqn
9,5117,-78.842,263,3.2,dqn
10,5400,-80.829,283,3.4,dqn
11,6600,42.45,1200,4.2,dqn
12,6866,-77.422,266,4.4,dqn
13,7258,-77.201,392,4.6,dqn
14,7636,-76.088,378,4.9,dqn
15,8703,-55.76,1067,5.6,dqn
16,8984,-77.567,281,5.8,dqn
17,9200,-77.402,216,5.9,dqn
18,9591,-61.722,391,6.2,dqn
19,10186,-56.755,595,6.6,dqn
20,11038,-60.357,852,7.2,dqn
21,11551,-57.125,513,7.5,dqn
22,11754,-78.621,203,7.6,dqn
23,12460,-55.444,706,8.1,dqn
24,12578,-78.683,118,8.1,dqn
25,13118,-67.41,540,8.5,dqn
26,13241,-89.064,123,8.6,dqn
27,13537,-78.184,296,8.8,dqn
28,13879,-77.367,342,9.1,dqn
29,13979,-78.349,100,9.2,dqn
30,14412,-72.626,433,9.5,dqn
31,14510,-88.786,98,9.5,dqn
32,15050,-48.697,540,9.9,dqn
33,16250,64.448,1200,10.7,dqn
34,16948,180.318,698,11.2,dqn
35,17040,-89.141,92,11.2,dqn
36,17236,-78.046,196,11.4,dqn
37,17361,-78.174,125,11.4,dqn
38,17457,-78.475,96,11.5,dqn
39,17740,-76.576,283,11.7,dqn
40,17879,-79.068,139,11.8,dqn
41,18165,-77.364,286,12.0,dqn
42,18817,-32.336,652,12.5,dqn
43,19003,-78.207,186,12.6,dqn
44,19157,-76.366,154,12.7,dqn
45,20357,54.127,1200,13.5,dqn
46,20550,-78.83,193,13.6,dqn
47,20734,-76.361,184,13.8,dqn
48,21025,-76.558,291,14.0,dqn
49,21460,-72.831,435,14.2,dqn
50,22578,-29.674,1118,14.9,dqn
51,23001,-72.477,423,15.2,dqn
52,23116,-78.482,115,15.3,dqn
53,23278,-77.525,162,15.4,dqn
54,23634,-64.557,356,15.7,dqn
55,24330,-41.725,696,16.1,dqn
56,24859,-57.094,529,16.5,dqn
57,25079,-66.244,220,16.6,dqn
58,25448,-76.826,369,16.8,dqn
59,26648,59.567,1200,17.6,dqn
60,26885,-28.539,237,17.8,dqn
61,28085,53.899,1200,18.6,dqn
62,28627,-24.21,542,18.9,dqn
63,29000,-52.883,373,19.2,dqn
64,29432,-43.824,432,19.4,dqn
65,29991,-53.736,559,19.8,dqn
66,30795,-35.908,804,20.4,dqn
67,30894,-77.828,99,20.4,dqn
68,31741,-34.885,847,21.0,dqn
69,32120,-35.802,379,21.3,dqn
70,32594,-30.014,474,21.6,dqn
71,33031,-53.442,437,22.0,dqn
72,33118,-78.099,87,22.1,dqn
73,33300,-47.959,182,22.2,dqn
74,33587,-47.587,287,22.4,dqn
75,33866,-35.764,279,22.7,dqn
76,34337,-23.611,471,23.0,dqn
77,34538,-55.956,201,23.1,dqn
78,35071,-22.412,533,23.5,dqn
79,35388,-46.112,317,23.7,dqn
80,35647,-55.158,259,23.8,dqn
81,36039,-16.445,392,24.2,dqn
82,36444,-33.127,405,24.4,dqn
83,36751,-16.142,307,24.6,dqn
84,36961,-57.174,210,24.8,dqn
85,38161,45.103,1200,25.6,dqn
86,38486,-43.261,325,25.8,dqn
87,38705,-46.629,219,26.0,dqn
88,39117,-44.876,412,26.3,dqn
89,39416,-43.399,299,26.5,dqn
90,39672,-37.294,256,26.7,dqn
91,40872,45.474,1200,27.5,dqn
92,41393,-33.065,521,27.9,dqn
93,41638,-55.361,245,28.0,dqn
94,42016,-11.929,378,28.3,dqn
95,42328,-37.54,312,28.5,dqn
96,42591,-37.062,263,28.7,dqn
97,42843,-37.839,252,28.9,dqn
98,43085,-46.074,242,29.1,dqn
99,43449,-34.339,364,29.3,dqn
100,43762,-46.547,313,29.6,dqn
101,43941,-46.604,179,29.7,dqn
102,44172,-57.312,231,29.9,dqn
103,44701,-31.882,529,30.2,dqn
104,44988,-46.199,287,30.5,dqn
105,45184,-45.192,196,30.7,dqn
106,45432,-47.448,248,31.0,dqn
107,45796,-34.776,364,31.3,dqn
108,46254,-37.009,458,31.7,dqn
109,46490,-56.121,236,32.0,dqn
110,46693,-37.694,203,32.1,dqn
111,46852,-57.178,159,32.3,dqn
112,47284,-46.156,432,32.6,dqn
113,47441,-45.867,157,33.0,dqn
114,47655,-35.665,214,33.2,dqn
115,47834,-46.737,179,33.3,dqn
116,48044,-35.834,210,33.5,dqn
117,48366,-46.485,322,33.8,dqn
118,48724,-35.956,358,34.1,dqn
