episode,timestep,reward,ep_length,elapsed_s,algo
1,1200,23.328,1200,6.2,ppo
2,2400,40.281,1200,11.1,ppo
3,2662,-76.031,262,11.6,ppo
4,2860,-77.421,198,12.0,ppo
5,3053,-79.267,193,12.3,ppo
6,3498,-66.721,445,13.2,ppo
7,3636,-79.899,138,13.5,ppo
8,3788,-77.018,152,13.8,ppo
9,4336,-55.712,548,17.5,ppo
10,4718,-59.71,382,18.3,ppo
11,5141,-82.059,423,19.1,ppo
12,5576,-81.517,435,19.9,ppo
13,6185,-72.496,609,23.6,ppo
14,6568,-77.673,383,24.3,ppo
15,7768,28.963,1200,26.7,ppo
16,8968,47.687,1200,31.6,ppo
17,10168,15.665,1200,33.9,ppo
18,11368,18.462,1200,38.7,ppo
19,12568,47.472,1200,43.5,ppo
20,13768,48.63,1200,45.8,ppo
21,14968,36.302,1200,50.6,ppo
22,16168,52.939,1200,53.1,ppo
23,17368,49.108,1200,57.9,ppo
24,18568,46.202,1200,62.7,ppo
25,19768,52.76,1200,65.0,ppo
26,20968,53.615,1200,69.8,ppo
27,22168,56.192,1200,72.1,ppo
28,23368,52.996,1200,76.6,ppo
29,24568,55.882,1200,79.0,ppo
30,25768,58.106,1200,83.6,ppo
31,26968,60.875,1200,88.4,ppo
32,28168,59.205,1200,90.8,ppo
33,29368,63.486,1200,95.4,ppo
34,30568,64.41,1200,97.8,ppo
35,31768,70.315,1200,102.4,ppo
36,32968,76.12,1200,107.1,ppo
37,34168,70.461,1200,109.5,ppo
38,35368,74.089,1200,114.1,ppo
39,36568,76.042,1200,116.5,ppo
40,37768,84.322,1200,121.0,ppo
41,38968,79.905,1200,125.7,ppo
42,40168,75.019,1200,128.0,ppo
43,41368,89.886,1200,132.7,ppo
44,42568,92.404,1200,135.0,ppo
45,43768,93.278,1200,139.7,ppo
46,44968,97.23,1200,142.1,ppo
47,46168,100.713,1200,146.7,ppo
48,47368,100.473,1200,151.5,ppo
49,48568,101.933,1200,153.8,ppo
50,49768,99.864,1200,158.4,ppo
51,50968,103.048,1200,160.7,ppo
52,52168,103.109,1200,165.5,ppo
53,53368,101.756,1200,170.2,ppo
